bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,97,209,36
1,2,0,0,36,95,57,36
1,3,97,0,0,97,209,36
1,4,0,0,72,93,47,36
1,5,0,57,36,111,73,26
1,6,111,0,36,55,135,36
1,7,0,130,36,111,73,26
1,8,0,0,108,93,47,36
1,9,0,135,62,117,55,28
1,10,0,57,62,111,73,26
1,11,117,0,72,55,149,40
1,12,0,135,90,117,55,28
1,13,0,0,144,75,57,32
1,14,117,0,112,55,149,40
1,15,0,0,176,75,57,36
1,16,0,135,118,117,55,28
1,17,0,57,88,91,69,46
1,18,0,57,134,75,57,36
1,19,0,57,170,75,57,32
1,20,101,0,152,75,57,40
1,21,101,0,192,75,57,40
1,22,0,135,146,117,55,28
1,23,0,57,202,75,57,32
1,24,117,149,36,95,57,36
1,25,0,130,174,111,73,26
1,26,117,149,72,91,69,46
1,27,0,135,200,117,55,28
1,28,117,149,118,91,69,46
1,29,111,57,152,57,75,32
1,30,117,149,164,95,57,36
1,31,111,57,184,57,75,40
1,32,117,149,200,75,57,40
