box_name,bin_1
#7A外箱,4
#9外箱,3
#16A外箱,4
#18A外箱,2
#13外箱,5
#20外箱,4
#22外箱,3
#26外箱,2
#29外箱,1
#33外箱,2
#35外箱,2
