bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,209,97,36
1,2,0,0,36,209,97,36
1,3,0,97,0,55,117,28
1,4,0,0,72,57,95,36
1,5,0,97,28,57,75,40
1,6,57,97,0,135,55,36
1,7,0,0,108,57,95,36
1,8,57,0,72,57,75,36
1,9,57,152,0,117,55,28
1,10,57,97,36,135,55,36
1,11,0,0,144,57,95,36
1,12,114,0,72,73,111,26
1,13,57,152,28,117,55,28
1,14,0,0,180,57,95,36
1,15,114,0,98,73,111,26
1,16,0,97,68,57,75,32
1,17,57,111,72,135,55,36
1,18,114,0,124,57,95,36
1,19,57,111,108,135,55,36
1,20,114,0,160,69,91,46
1,21,57,0,108,57,75,36
1,22,0,97,100,57,75,36
1,23,57,0,144,57,75,32
1,24,55,172,56,93,47,36
1,25,57,111,144,149,55,40
1,26,57,111,184,117,55,28
1,27,55,172,92,93,47,36
