box_name,quantity,packed_boxes,unpacked_boxes
#7A,0,0,0
#9,1,1,0
#16A,2,2,0
#18A,3,3,0
#13,1,1,0
#20,2,2,0
#22,0,0,0
#26,0,0,0
#29,1,1,0
#33,2,2,0
#35,1,1,0
