bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,layer,position_x,position_y,position_z,width,height,depth
1,#20,53.0,34.0,26,55.5,36.5,26,0.0,0,2.5,2.5,0,106,68,26
1,#35,102.0,46.0,36,159.5,104.5,36,1.0,0,113.5,2.5,0,92,204,36
1,#22,45.0,26.0,36,28.5,120.5,36,1.0,0,2.5,75.5,0,52,90,36
1,#33,44.0,21.0,36,80.5,119.5,36,1.0,0,59.5,75.5,0,42,88,36
1,#20,53.0,34.0,26,55.5,36.5,52,0.0,1,2.5,2.5,26,106,68,26
1,#35,102.0,46.0,36,159.5,104.5,72,1.0,1,113.5,2.5,36,92,204,36
1,#9,43.0,32.0,46,34.5,120.5,82,1.0,1,2.5,77.5,36,64,86,46
1,#18A,35.0,26.0,36,28.5,37.5,88,1.0,2,2.5,2.5,52,52,70,36
1,#26,72.0,25.0,40,138.5,74.5,112,1.0,2,113.5,2.5,72,50,144,40
1,#13,56.0,25.0,28,145.5,176.5,100,0.0,2,89.5,151.5,72,112,50,28
1,#9,43.0,32.0,46,34.5,120.5,128,1.0,2,2.5,77.5,82,64,86,46
1,#7A,35.0,26.0,40,28.5,37.5,128,1.0,3,2.5,2.5,88,52,70,40
1,#29,65.0,25.0,36,138.5,67.5,148,1.0,3,113.5,2.5,112,50,130,36
1,#7A,35.0,26.0,40,28.5,112.5,168,1.0,3,2.5,77.5,128,52,70,40
1,#7A,35.0,26.0,40,28.5,37.5,168,1.0,4,2.5,2.5,128,52,70,40
1,#26,72.0,25.0,40,138.5,74.5,188,1.0,4,113.5,2.5,148,50,144,40
1,#16A,35.0,26.0,32,28.5,37.5,200,1.0,5,2.5,2.5,168,52,70,32
1,#18A,35.0,26.0,36,28.5,37.5,236,1.0,6,2.5,2.5,200,52,70,36
