bin_name,box_name,position_x,position_y,width,height
1,1,0,0,47,93
1,2,47,0,57,95
1,3,0,95,91,69
1,4,104,0,55,149
1,5,159,0,57,75
1,6,0,164,135,55
1,7,159,75,57,75
1,8,135,150,75,57
2,1,0,0,73,111
2,2,73,0,117,55
2,3,0,111,209,97
