bin_name,box_name,position_x,position_y,width,height
1,1,0,0,75,57
1,2,0,57,117,55
1,3,75,0,135,55
1,4,0,112,209,97
1,5,117,55,95,57
2,1,0,0,69,91
2,2,69,0,73,111
2,3,0,91,57,75
2,4,142,0,57,75
2,5,0,166,93,47
2,6,57,111,149,55
