bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,47,93,36
1,2,47,0,0,57,75,40
1,3,0,93,0,73,111,26
1,4,104,0,0,97,209,36
1,5,0,93,26,73,111,26
1,6,104,0,36,97,209,36
1,7,0,93,52,69,91,46
1,8,47,0,40,57,75,36
1,9,104,0,72,55,135,36
1,10,47,0,76,57,75,36
1,11,159,0,72,55,149,40
1,12,104,0,108,55,117,28
1,13,0,93,98,57,95,36
1,14,0,0,36,47,93,36
1,15,47,0,112,57,75,40
1,16,159,0,112,55,149,40
1,17,47,0,152,57,75,36
1,18,77,149,72,117,55,28
1,19,47,0,188,57,75,40
1,20,0,93,134,69,91,46
