bin_name,box_name,position_x,position_y,width,height
1,1,0,0,57,75
1,2,57,0,55,149
1,3,0,75,55,135
1,4,112,0,57,95
1,5,55,149,91,69
1,6,146,95,73,111
1,7,169,0,47,93
2,1,0,0,117,55
2,2,0,55,57,75
2,3,117,0,97,209
2,4,0,130,57,75
