bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,position_x,position_y,position_z,width,height,depth
1,#18A外箱,35.0,26.0,36.0,28.5,37.5,36.0,1.0,2.5,2.5,0,52,70,36.0
1,#26外箱,72.0,25.0,40.0,84.5,74.5,40.0,1.0,59.5,2.5,0,50,144,40.0
1,#22外箱,45.0,26.0,36.0,140.5,47.5,36.0,1.0,114.5,2.5,0,52,90,36.0
1,#33外箱,44.0,21.0,36.0,192.5,46.5,36.0,1.0,171.5,2.5,0,42,88,36.0
1,#29外箱,65.0,25.0,36.0,27.5,142.5,36.0,1.0,2.5,77.5,0,50,130,36.0
1,#20外箱,53.0,34.0,26.0,182.5,150.5,26.0,1.0,148.5,97.5,0,68,106,26.0
1,#9外箱,43.0,32.0,46.0,100.5,183.5,46.0,0.0,57.5,151.5,0,86,64,46.0
2,#13外箱,56.0,25.0,28.0,58.5,27.5,28.0,0.0,2.5,2.5,0,112,50,28.0
2,#35外箱,102.0,46.0,36.0,165.5,104.5,36.0,1.0,119.5,2.5,0,92,204,36.0
2,#16A外箱,35.0,26.0,32.0,28.5,92.5,32.0,1.0,2.5,57.5,0,52,70,32.0
2,#7A外箱,35.0,26.0,40.0,28.5,167.5,40.0,1.0,2.5,132.5,0,52,70,40.0
