bin_name,box_name,position_x,position_y,width,height
1,1,0,0,117,55
1,2,0,55,75,57
1,3,0,112,209,97
1,4,117,0,57,75
2,1,0,0,149,55
2,2,0,55,57,95
2,3,57,55,93,47
2,4,0,150,91,69
2,5,91,102,73,111
2,6,150,0,57,75
2,7,164,75,55,135
