bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,position_x,position_y,position_z,width,height,depth
1,#13外箱,56.0,25.0,28.0,58.5,27.5,28.0,0.0,2.5,2.5,0,112,50,28.0
1,#16A外箱,35.0,26.0,32.0,145.5,37.5,32.0,1.0,119.5,2.5,0,52,70,32.0
1,#18A外箱,35.0,26.0,36.0,37.5,83.5,36.0,0.0,2.5,57.5,0,70,52,36.0
1,#35外箱,102.0,46.0,36.0,104.5,160.5,36.0,0.0,2.5,114.5,0,204,92,36.0
2,#26外箱,72.0,25.0,40.0,74.5,27.5,40.0,0.0,2.5,2.5,0,144,50,40.0
2,#7A外箱,35.0,26.0,40.0,178.5,37.5,40.0,1.0,152.5,2.5,0,52,70,40.0
2,#22外箱,45.0,26.0,36.0,28.5,102.5,36.0,1.0,2.5,57.5,0,52,90,36.0
2,#33外箱,44.0,21.0,36.0,103.5,78.5,36.0,0.0,59.5,57.5,0,88,42,36.0
2,#29外箱,65.0,25.0,36.0,191.5,142.5,36.0,1.0,166.5,77.5,0,50,130,36.0
2,#20外箱,53.0,34.0,26.0,127.5,157.5,26.0,1.0,93.5,104.5,0,68,106,26.0
2,#9外箱,43.0,32.0,46.0,45.5,184.5,46.0,0.0,2.5,152.5,0,86,64,46.0
