bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,layer,position_x,position_y,position_z,width,height,depth
1,#26外箱,36.0,12.5,20,15.0,38.5,20,1.0,0,2.5,2.5,0,25,72,20
1,#20外箱,26.5,17.0,13,59.0,19.5,13,0.0,0,32.5,2.5,0,53,34,13
1,#13外箱,28.0,12.5,14,118.5,15.0,14,0.0,0,90.5,2.5,0,56,25,14
1,#29外箱,32.5,12.5,18,184.0,15.0,18,0.0,0,151.5,2.5,0,65,25,18
1,#35外箱,51.0,23.0,18,141.5,55.5,18,0.0,0,90.5,32.5,0,102,46,18
1,#13外箱,28.0,12.5,14,46.0,69.5,14,1.0,0,33.5,41.5,0,25,56,14
1,#33外箱,22.0,10.5,18,75.0,63.5,18,1.0,0,64.5,41.5,0,21,44,18
1,#18A外箱,17.5,13.0,18,15.5,97.0,18,1.0,0,2.5,79.5,0,26,35,18
1,#35外箱,51.0,23.0,18,90.5,125.5,18,0.0,0,39.5,102.5,0,102,46,18
1,#9外箱,21.5,16.0,23,18.5,141.0,23,1.0,0,2.5,119.5,0,32,43,23
1,#20外箱,26.5,17.0,13,77.5,180.0,13,1.0,0,60.5,153.5,0,34,53,13
1,#20外箱,26.5,17.0,13,29.0,184.5,13,0.0,0,2.5,167.5,0,53,34,13
1,#33外箱,22.0,10.5,18,54.5,13.0,31,0.0,1,32.5,2.5,13,44,21,18
1,#9外箱,21.5,16.0,23,24.0,183.5,36,0.0,1,2.5,167.5,13,43,32,23
1,#13外箱,28.0,12.5,14,118.5,15.0,28,0.0,1,90.5,2.5,14,56,25,14
1,#18A外箱,17.5,13.0,18,46.5,59.0,32,1.0,1,33.5,41.5,14,26,35,18
1,#29外箱,32.5,12.5,18,184.0,15.0,36,0.0,1,151.5,2.5,18,65,25,18
1,#22外箱,22.5,13.0,18,113.0,45.5,36,0.0,1,90.5,32.5,18,45,26,18
1,#20外箱,26.5,17.0,13,172.5,59.0,31,1.0,1,155.5,32.5,18,34,53,13
1,#26外箱,36.0,12.5,20,114.5,76.0,38,0.0,1,78.5,63.5,18,72,25,20
1,#16A外箱,17.5,13.0,16,15.5,97.0,34,1.0,1,2.5,79.5,18,26,35,16
1,#22外箱,22.5,13.0,18,52.5,125.0,36,1.0,1,39.5,102.5,18,26,45,18
1,#26外箱,36.0,12.5,20,15.0,38.5,40,1.0,1,2.5,2.5,20,25,72,20
1,#9外箱,21.5,16.0,23,18.5,141.0,46,1.0,1,2.5,119.5,23,32,43,23
1,#13外箱,28.0,12.5,14,118.5,15.0,42,0.0,2,90.5,2.5,28,56,25,14
1,#22外箱,22.5,13.0,18,55.0,15.5,49,0.0,2,32.5,2.5,31,45,26,18
1,#16A外箱,17.5,13.0,16,46.5,59.0,48,1.0,2,33.5,41.5,32,26,35,16
1,#16A外箱,17.5,13.0,16,15.5,97.0,50,1.0,2,2.5,79.5,34,26,35,16
1,#29外箱,32.5,12.5,18,184.0,15.0,54,0.0,2,151.5,2.5,36,65,25,18
1,#29外箱,32.5,12.5,18,15.0,35.0,58,1.0,2,2.5,2.5,40,25,65,18
1,#9外箱,21.5,16.0,23,18.5,141.0,69,1.0,2,2.5,119.5,46,32,43,23
1,#33外箱,22.0,10.5,18,112.5,13.0,60,0.0,3,90.5,2.5,42,44,21,18
1,#7A外箱,17.5,13.0,20,51.0,15.5,69,0.0,3,33.5,2.5,49,35,26,20
1,#7A外箱,17.5,13.0,20,15.5,20.0,78,1.0,3,2.5,2.5,58,26,35,20
1,#18A外箱,17.5,13.0,18,51.0,15.5,87,0.0,4,33.5,2.5,69,35,26,18
1,#7A外箱,17.5,13.0,20,15.5,20.0,98,1.0,4,2.5,2.5,78,26,35,20
1,#7A外箱,17.5,13.0,20,15.5,20.0,118,1.0,5,2.5,2.5,98,26,35,20
