bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,30,77,20
1,2,30,0,0,58,39,13
1,3,0,0,20,30,77,20
1,4,30,0,13,49,26,18
1,5,0,0,40,30,70,18
1,6,0,77,0,31,40,18
1,7,88,0,0,61,30,14
1,8,0,0,58,31,40,20
1,9,30,0,31,50,31,18
1,10,31,39,0,30,61,14
1,11,0,117,0,37,48,23
1,12,88,30,0,107,51,18
1,13,37,100,0,107,51,18
1,14,0,165,0,58,39,13
1,15,0,0,78,31,40,20
1,16,31,39,14,31,40,18
1,17,149,0,0,70,30,18
1,18,149,0,18,70,30,18
1,19,0,117,23,37,48,23
1,20,0,165,13,48,37,23
1,21,88,0,14,61,30,14
1,22,0,77,18,31,40,16
1,23,31,0,49,40,31,20
1,24,88,30,18,50,31,18
1,25,62,39,0,26,49,18
1,26,0,0,98,31,40,20
1,27,149,0,36,70,30,18
1,28,37,100,18,31,50,18
1,29,0,117,46,37,48,23
1,30,0,77,34,31,40,16
1,31,31,0,69,40,31,18
1,32,31,39,32,31,40,16
1,33,76,61,18,77,30,20
1,34,88,0,28,61,30,14
1,35,88,0,42,49,26,18
1,36,58,151,0,39,58,13
1,37,153,30,18,39,58,13
